აბატი	ɑbɑtʼɪ	ɑbɑtʼi
ემპირიული	ɛmpʼɪrɪulɪ	ɛmpʼiriuli
ემულსია	ɛmulsɪɑ	ɛmulsiɑ
ენათმეცნიერება	ɛnɑtʰmɛtsnɪɛrɛbɑ	ɛnɑtʰmɛtsniɛrɛbɑ
ენამოჩლექილად	ɛnɑmɔtʃlɛkʰɪlɑd	ɛnɑmɔtʃlɛkʰilɑd
ენდემური	ɛndɛmurɪ	ɛndɛmuri
ენერგია	ɛnɛrɡɪɑ	ɛnɛrɡiɑ
ენერგიულად	ɛnɛrɡɪulɑd	ɛnɛrɡiulɑd
ენერგიული	ɛnɛrɡɪulɪ	ɛnɛrɡiuli
ენთუზიაზმი	ɛntʰuzɪɑzmɪ	ɛntʰuziɑzmi
ენთუზიაზმით	ɛntʰuzɪɑzmɪtʰ	ɛntʰuziɑzmitʰ
ენთუზიასტი	ɛntʰuzɪɑstʼɪ	ɛntʰuziɑstʼi
ენტერიტი	ɛntʼɛrɪtʼɪ	ɛntʼɛritʼi
ენტომოლოგი	ɛntʼɔmɔlɔɡɪ	ɛntʼɔmɔlɔɡi
ენტომოლოგია	ɛntʼɔmɔlɔɡɪɑ	ɛntʼɔmɔlɔɡiɑ
ეპარქია	ɛpʼɑrkʰɪɑ	ɛpʼɑrkʰiɑ
ეპიგრამა	ɛpʼɪɡrɑmɑ	ɛpʼiɡrɑmɑ
ეპიგრამული	ɛpʼɪɡrɑmulɪ	ɛpʼiɡrɑmuli
ეპიდემია	ɛpʼɪdɛmɪɑ	ɛpʼidɛmiɑ
ეპიდემიოლოგი	ɛpʼɪdɛmɪɔlɔɡɪ	ɛpʼidɛmiɔlɔɡi
ეპიდემიური	ɛpʼɪdɛmɪurɪ	ɛpʼidɛmiuri
ეპიდერმისი	ɛpʼɪdɛrmɪsɪ	ɛpʼidɛrmisi
ეპიდიასკოპი	ɛpʼɪdɪɑskʼɔpʼɪ	ɛpʼidiɑskʼɔpʼi
ეპიზოდი	ɛpʼɪzɔdɪ	ɛpʼizɔdi
ეპიზოდური	ɛpʼɪzɔdurɪ	ɛpʼizɔduri
ეპიკურეული	ɛpʼɪkʼurɛulɪ	ɛpʼikʼurɛuli
ეპიკური	ɛpʼɪkʼurɪ	ɛpʼikʼuri
ეპილეფსია	ɛpʼɪlɛpʰsɪɑ	ɛpʼilɛpʰsiɑ
ეპილეფსიური	ɛpʼɪlɛpʰsɪurɪ	ɛpʼilɛpʰsiuri
ეპილოგი	ɛpʼɪlɔɡɪ	ɛpʼilɔɡi
ეპისტოლარული	ɛpʼɪstʼɔlɑrulɪ	ɛpʼistʼɔlɑruli
ეპისტოლე	ɛpʼɪstʼɔlɛ	ɛpʼistʼɔlɛ
ეპიტაფია	ɛpʼɪtʼɑpʰɪɑ	ɛpʼitʼɑpʰiɑ
ეპიცენტრი	ɛpʼɪtsɛntʼrɪ	ɛpʼitsɛntʼri
ეპოლეტი	ɛpʼɔlɛtʼɪ	ɛpʼɔlɛtʼi
ეპოქალური	ɛpʼɔkʰɑlurɪ	ɛpʼɔkʰɑluri
ერესი	ɛrɛsɪ	ɛrɛsi
ერეტიკოსი	ɛrɛtʼɪkʼɔsɪ	ɛrɛtʼikʼɔsi
ერეტიკული	ɛrɛtʼɪkʼulɪ	ɛrɛtʼikʼuli
ერთგვაროვანი	ɛrtʰɡvɑrɔvɑnɪ	ɛrtʰɡvɑrɔvɑni
ერთგულები	ɛrtʰɡulɛbɪ	ɛrtʰɡulɛbi
ერთობლივად	ɛrtʰɔblɪvɑd	ɛrtʰɔblivɑd
ერთობლივი	ɛrtʰɔblɪvɪ	ɛrtʰɔblivi
ერთობლიობა	ɛrtʰɔblɪɔbɑ	ɛrtʰɔbliɔbɑ
ერთფეროვანი	ɛrtʰpʰɛrɔvɑnɪ	ɛrtʰpʰɛrɔvɑni
ერთცხენიანი	ɛrtʰtsχɛnɪɑnɪ	ɛrtʰtsxɛniɑni
ერთწლიანი	ɛrtʰtsʼlɪɑnɪ	ɛrtʰtsʼliɑni
ერთხელ	ɛrtʰχɛl	ɛrtʰxɛl
ერთხელაც	ɛrtʰχɛlɑts	ɛrtʰxɛlɑts
ერიკა	ɛrɪkʼɑ	ɛrikʼɑ
ერიკი	ɛrɪkʼɪ	ɛrikʼi
ერისკაცი	ɛrɪskʼɑtsɪ	ɛriskʼɑtsi
ერკემალი	ɛrkʼɛmɑlɪ	ɛrkʼɛmɑli
ერნესტი	ɛrnɛstʼɪ	ɛrnɛstʼi
ეროვნული	ɛrɔvnulɪ	ɛrɔvnuli
ეროზიული	ɛrɔzɪulɪ	ɛrɔziuli
ერუდირებულად	ɛrudɪrɛbulɑd	ɛrudirɛbulɑd
ერუდირებული	ɛrudɪrɛbulɪ	ɛrudirɛbuli
ერუდიცია	ɛrudɪtsɪɑ	ɛruditsiɑ
ერცჰერცოგი	ɛrtshɛrtsɔɡɪ	ɛrtshɛrtsɔɡi
ესეისტი	ɛsɛɪstʼɪ	ɛsɛistʼi
ესთეტი	ɛstʰɛtʼɪ	ɛstʰɛtʼi
ესთეტიკა	ɛstʰɛtʼɪkʼɑ	ɛstʰɛtʼikʼɑ
ესთეტიკური	ɛstʰɛtʼɪkʼurɪ	ɛstʰɛtʼikʼuri
ესთეტიურად	ɛstʰɛtʼɪurɑd	ɛstʰɛtʼiurɑd
ესკადრონი	ɛskʼɑdrɔnɪ	ɛskʼɑdrɔni
ესკალატორი	ɛskʼɑlɑtʼɔrɪ	ɛskʼɑlɑtʼɔri
ესკალაცია	ɛskʼɑlɑtsɪɑ	ɛskʼɑlɑtsiɑ
ესკიზურად	ɛskʼɪzurɑd	ɛskʼizurɑd
ესკიზური	ɛskʼɪzurɪ	ɛskʼizuri
ესკორტი	ɛskʼɔrtʼɪ	ɛskʼɔrtʼi
ესპანეთით	ɛspʼɑnɛtʰɪtʰ	ɛspʼɑnɛtʰitʰ
ესპანეთის	ɛspʼɑnɛtʰɪs	ɛspʼɑnɛtʰis
ესპანური	ɛspʼɑnurɪ	ɛspʼɑnuri
ეტიკეტი	ɛtʼɪkʼɛtʼɪ	ɛtʼikʼɛtʼi
ეტიმოლოგიური	ɛtʼɪmɔlɔɡɪurɪ	ɛtʼimɔlɔɡiuri
ეტიუდი	ɛtʼɪudɪ	ɛtʼiudi
ეფემერული	ɛpʰɛmɛrulɪ	ɛpʰɛmɛruli
ეფენდი	ɛpʰɛndɪ	ɛpʰɛndi
ექვსგზის	ɛkʰvsɡzɪs	ɛkʰvsɡzis
ექვსკუთხედი	ɛkʰvskʼutʰχɛdɪ	ɛkʰvskʼutʰxɛdi
ექიმად	ɛkʰɪmɑd	ɛkʰimɑd
ექიმით	ɛkʰɪmɪtʰ	ɛkʰimitʰ
ექიმის	ɛkʰɪmɪs	ɛkʰimis
ექიმმა	ɛkʰɪmmɑ	ɛkʰimmɑ
ექიმს	ɛkʰɪms	ɛkʰims
ექსკრემენტი	ɛkʰskʼrɛmɛntʼɪ	ɛkʰskʼrɛmɛntʼi
ექსკურსანტი	ɛkʰskʼursɑntʼɪ	ɛkʰskʼursɑntʼi
ექსკურსია	ɛkʰskʼursɪɑ	ɛkʰskʼursiɑ
ექსპანსიურად	ɛkʰspʼɑnsɪurɑd	ɛkʰspʼɑnsiurɑd
ექსპანსიური	ɛkʰspʼɑnsɪurɪ	ɛkʰspʼɑnsiuri
ექსპერიმენტალურად	ɛkʰspʼɛrɪmɛntʼɑlurɑd	ɛkʰspʼɛrimɛntʼɑlurɑd
ექსპერიმენტი	ɛkʰspʼɛrɪmɛntʼɪ	ɛkʰspʼɛrimɛntʼi
ექსპერიმენტულად	ɛkʰspʼɛrɪmɛntʼulɑd	ɛkʰspʼɛrimɛntʼulɑd
ექსპლუატაცია	ɛkʰspʼluɑtʼɑtsɪɑ	ɛkʰspʼluɑtʼɑtsiɑ
ექსპონატი	ɛkʰspʼɔnɑtʼɪ	ɛkʰspʼɔnɑtʼi
ექსპონენტი	ɛkʰspʼɔnɛntʼɪ	ɛkʰspʼɔnɛntʼi
ექსპორტიორი	ɛkʰspʼɔrtʼɪɔrɪ	ɛkʰspʼɔrtʼiɔri
ექსპრესი	ɛkʰspʼrɛsɪ	ɛkʰspʼrɛsi
ექსპრესია	ɛkʰspʼrɛsɪɑ	ɛkʰspʼrɛsiɑ
ექსპრომტი	ɛkʰspʼrɔmtʼɪ	ɛkʰspʼrɔmtʼi
ექსპრომტული	ɛkʰspʼrɔmtʼulɪ	ɛkʰspʼrɔmtʼuli
ექსტაზი	ɛkʰstʼɑzɪ	ɛkʰstʼɑzi
ექსტაზური	ɛkʰstʼɑzurɪ	ɛkʰstʼɑzuri
ექსტრაქტი	ɛkʰstʼrɑkʰtʼɪ	ɛkʰstʼrɑkʰtʼi
ექსტრემისტი	ɛkʰstʼrɛmɪstʼɪ	ɛkʰstʼrɛmistʼi
ექსჰუმაცია	ɛkʰshumɑtsɪɑ	ɛkʰshumɑtsiɑ
ეშელონი	ɛʃɛlɔnɪ	ɛʃɛlɔni
ეშმაკეული	ɛʃmɑkʼɛulɪ	ɛʃmɑkʼɛuli
ეშმაკისებრ	ɛʃmɑkʼɪsɛbr	ɛʃmɑkʼisɛbr
ეჭვიანად	ɛtʃʼvɪɑnɑd	ɛtʃʼviɑnɑd
ეხუტება	ɛχutʼɛbɑ	ɛxutʼɛbɑ
ვაგინალური	vɑɡɪnɑlurɪ	vɑɡinɑluri
ვაზელინი	vɑzɛlɪnɪ	vɑzɛlini
ვაკანსია	vɑkʼɑnsɪɑ	vɑkʼɑnsiɑ
ვაკანტური	vɑkʼɑntʼurɪ	vɑkʼɑntʼuri
ვაკუუმი	vɑkʼuumɪ	vɑkʼuumi
ვალსი	vɑlsɪ	vɑlsi
ვანდალიზმი	vɑndɑlɪzmɪ	vɑndɑlizmi
ვანილი	vɑnɪlɪ	vɑnili
ვაპირებ	vɑpʼɪrɛb	vɑpʼirɛb
ვარამი	vɑrɑmɪ	vɑrɑmi
ვარაუდი	vɑrɑudɪ	vɑrɑudi
ვარაუდით	vɑrɑudɪtʰ	vɑrɑuditʰ
ვარგისად	vɑrɡɪsɑd	vɑrɡisɑd
ვარია	vɑrɪɑ	vɑriɑ
ვარიაცია	vɑrɪɑtsɪɑ	vɑriɑtsiɑ
ვარსკვლავური	vɑrskʼvlɑvurɪ	vɑrskʼvlɑvuri
ვარცხნილობა	vɑrtsχnɪlɔbɑ	vɑrtsxnilɔbɑ
ვასალური	vɑsɑlurɪ	vɑsɑluri
ვატი	vɑtʼɪ	vɑtʼi
ვატიკანი	vɑtʼɪkʼɑnɪ	vɑtʼikʼɑni
ვაფლი	vɑpʰlɪ	vɑpʰli
ვაქსი	vɑkʰsɪ	vɑkʰsi
ვაქცინა	vɑkʰtsɪnɑ	vɑkʰtsinɑ
ვაქცინაცია	vɑkʰtsɪnɑtsɪɑ	vɑkʰtsinɑtsiɑ
ვაჭარი	vɑtʃʼɑrɪ	vɑtʃʼɑri
ვახშამი	vɑχʃɑmɪ	vɑxʃɑmi
ვედრებით	vɛdrɛbɪtʰ	vɛdrɛbitʰ
ვეზირი	vɛzɪrɪ	vɛziri
ველვეტი	vɛlvɛtʼɪ	vɛlvɛtʼi
ვენერიული	vɛnɛrɪulɪ	vɛnɛriuli
ვენეცია	vɛnɛtsɪɑ	vɛnɛtsiɑ
ვენეციური	vɛnɛtsɪurɪ	vɛnɛtsiuri
ვენტილაცია	vɛntʼɪlɑtsɪɑ	vɛntʼilɑtsiɑ
ვერასგზით	vɛrɑsɡzɪtʰ	vɛrɑsɡzitʰ
ვერდიქტი	vɛrdɪkʰtʼɪ	vɛrdikʰtʼi
ვერმიშელი	vɛrmɪʃɛlɪ	vɛrmiʃɛli
ვერნონი	vɛrnɔnɪ	vɛrnɔni
ვერონიკა	vɛrɔnɪkʼɑ	vɛrɔnikʼɑ
ვერსია	vɛrsɪɑ	vɛrsiɑ
ვერტიკალურად	vɛrtʼɪkʼɑlurɑd	vɛrtʼikʼɑlurɑd
ვერტმფრენი	vɛrtʼmpʰrɛnɪ	vɛrtʼmpʰrɛni
ვერფი	vɛrpʰɪ	vɛrpʰi
ვერცხლად	vɛrtsχlɑd	vɛrtsxlɑd
ვერცხლით	vɛrtsχlɪtʰ	vɛrtsxlitʰ
ვერცხლის	vɛrtsχlɪs	vɛrtsxlis
ვერცხლმა	vɛrtsχlmɑ	vɛrtsxlmɑ
ვერცხლს	vɛrtsχls	vɛrtsxls
ვესტერნი	vɛstʼɛrnɪ	vɛstʼɛrni
ვესტიბიული	vɛstʼɪbɪulɪ	vɛstʼibiuli
ვეტერანი	vɛtʼɛrɑnɪ	vɛtʼɛrɑni
ვეტერინალური	vɛtʼɛrɪnɑlurɪ	vɛtʼɛrinɑluri
ვეტერინარი	vɛtʼɛrɪnɑrɪ	vɛtʼɛrinɑri
ვეფხვი	vɛpʰχvɪ	vɛpʰxvi
ვექტორი	vɛkʰtʼɔrɪ	vɛkʰtʼɔri
ვიადუკი	vɪɑdukʼɪ	viɑdukʼi
ვიბრატორი	vɪbrɑtʼɔrɪ	vibrɑtʼɔri
ვიგინდარა	vɪɡɪndɑrɑ	viɡindɑrɑ
ვიდეო	vɪdɛɔ	vidɛɔ
ვივიენი	vɪvɪɛnɪ	viviɛni
ვივისექცია	vɪvɪsɛkʰtsɪɑ	vivisɛkʰtsiɑ
ვიზა	vɪzɑ	vizɑ
ვიზიტი	vɪzɪtʼɪ	vizitʼi
ვიზუალურად	vɪzuɑlurɑd	vizuɑlurɑd
ვიზუალური	vɪzuɑlurɪ	vizuɑluri
ვიკინგი	vɪkʼɪnɡɪ	vikʼinɡi
ვიკიპედიად	vɪkʼɪpʼɛdɪɑd	vikʼipʼɛdiɑd
ვიკიპედიამ	vɪkʼɪpʼɛdɪɑm	vikʼipʼɛdiɑm
ვიკიპედიას	vɪkʼɪpʼɛdɪɑs	vikʼipʼɛdiɑs
ვიკიპედიით	vɪkʼɪpʼɛdɪɪtʰ	vikʼipʼɛdiitʰ
ვიკიპედიის	vɪkʼɪpʼɛdɪɪs	vikʼipʼɛdiis
ვიკიჰოლიკი	vɪ.kɪ.hɔ.lɪ.ki	vi.ki.hɔ.li.ki
ვიკონტი	vɪkʼɔntʼɪ	vikʼɔntʼi
ვილა	vɪlɑ	vilɑ
ვიმპელი	vɪmpʼɛlɪ	vimpʼɛli
ვინეგრეტი	vɪnɛɡrɛtʼɪ	vinɛɡrɛtʼi
ვინიეტი	vɪnɪɛtʼɪ	viniɛtʼi
ვინმესგან	vɪnmɛsɡɑn	vinmɛsɡɑn
ვინსენტი	vɪnsɛntʼɪ	vinsɛntʼi
ვიოლა	vɪɔlɑ	viɔlɑ
ვიოლეტა	vɪɔlɛtʼɑ	viɔlɛtʼɑ
ვირთევზა	vɪrtʰɛvzɑ	virtʰɛvzɑ
ვირტუალურად	vɪrtʼuɑlurɑd	virtʼuɑlurɑd
ვირტუალური	vɪrtʼuɑlurɪ	virtʼuɑluri
ვირული	vɪrulɪ	viruli
ვირუსი	vɪrusɪ	virusi
ვირუსოლოგია	vɪrusɔlɔɡɪɑ	virusɔlɔɡiɑ
ვირჯინია	vɪrdʒɪnɪɑ	virdʒiniɑ
ვისტი	vɪstʼɪ	vistʼi
ვიტალიზმი	vɪtʼɑlɪzmɪ	vitʼɑlizmi
ვიტალისტი	vɪtʼɑlɪstʼɪ	vitʼɑlistʼi
ვიტამინი	vɪtʼɑmɪnɪ	vitʼɑmini
ვიტრინა	vɪtʼrɪnɑ	vitʼrinɑ
ვიქსიკონი	vɪkʰsɪkʼɔnɪ	vikʰsikʼɔni
ვიქტორი	vɪkʰtʼɔrɪ	vikʰtʼɔri
ვიქტორია	vɪkʰtʼɔrɪɑ	vikʰtʼɔriɑ
ვიცი	vɪtsɪ	vitsi
ვიწროდ	vɪtsʼrɔd	vitsʼrɔd
ვიხდი	vɪχdɪ	vixdi
ვიხდიდი	vɪχdɪdɪ	vixdidi
ვნებიანად	vnɛbɪɑnɑd	vnɛbiɑnɑd
ვნებიანი	vnɛbɪɑnɪ	vnɛbiɑni
ვოდევილი	vɔdɛvɪlɪ	vɔdɛvili
ვოკალი	vɔkʼɑlɪ	vɔkʼɑli
ვოკალისტი	vɔkʼɑlɪstʼɪ	vɔkʼɑlistʼi
ვოკალური	vɔkʼɑlurɪ	vɔkʼɑluri
ვოლგოგრადი	vɔlɡɔɡrɑdɪ	vɔlɡɔɡrɑdi
ვოლტი	vɔltʼɪ	vɔltʼi
ვორონეჟი	vɔrɔnɛʒɪ	vɔrɔnɛʒi
ვუალი	vuɑlɪ	vuɑli
ვულგარიზაცია	vulɡɑrɪzɑtsɪɑ	vulɡɑrizɑtsiɑ
ვულგარიზმი	vulɡɑrɪzmɪ	vulɡɑrizmi
ვულკანიზაცია	vulkʼɑnɪzɑtsɪɑ	vulkʼɑnizɑtsiɑ
ვულკანური	vulkʼɑnurɪ	vulkʼɑnuri
ვხოცავდი	vχɔtsɑvdɪ	vxɔtsɑvdi
ზადენი	zɑdɛnɪ	zɑdɛni
ზაზანი	zɑzɑnɪ	zɑzɑni
ზაზუნი	zɑzunɪ	zɑzuni
ზათქი	zɑtʰkʰɪ	zɑtʰkʰi
ზათქიანი	zɑtʰkʰɪɑnɪ	zɑtʰkʰiɑni
ზაირი	zɑɪrɪ	zɑiri
ზალაყინი	zɑlɑqʼɪnɪ	zɑlɑqʼini
ზალპი	zɑlpʼɪ	zɑlpʼi
ზალცბურგი	zɑltsburɡɪ	zɑltsburɡi
ზამბაკი	zɑmbɑkʼɪ	zɑmbɑkʼi
ზამბახიანი	zɑmbɑχɪɑnɪ	zɑmbɑxiɑni
ზამში	zɑmʃɪ	zɑmʃi
ზანგი	zɑnɡɪ	zɑnɡi
ზაპოროჟიე	zɑpʼɔrɔʒɪɛ	zɑpʼɔrɔʒiɛ
ზარდახშა	zɑrdɑχʃɑ	zɑrdɑxʃɑ
ზატიკი	zɑtʼɪkʼɪ	zɑtʼikʼi
ზაფხულად	zɑpʰχulɑd	zɑpʰxulɑd
ზაფხულით	zɑpʰχulɪtʰ	zɑpʰxulitʰ
ზაფხულის	zɑpʰχulɪs	zɑpʰxulis
ზაფხულმა	zɑpʰχulmɑ	zɑpʰxulmɑ
ზაფხულს	zɑpʰχuls	zɑpʰxuls
ზებგერითი	zɛbɡɛrɪtʰɪ	zɛbɡɛritʰi
ზებუნებრივად	zɛbunɛbrɪvɑd	zɛbunɛbrivɑd
ზებუნებრივი	zɛbunɛbrɪvɪ	zɛbunɛbrivi
ზეგანი	zɛɡɑnɪ	zɛɡɑni
ზედადგარი	zɛdɑdɡɑrɪ	zɛdɑdɡɑri
ზედამხედველი	zɛdɑmχɛdvɛlɪ	zɛdɑmxɛdvɛli
ზედაპირი	zɛdɑpʼɪrɪ	zɛdɑpʼiri
ზედაპირულად	zɛdɑpʼɪrulɑd	zɛdɑpʼirulɑd
ზედაპირული	zɛdɑpʼɪrulɪ	zɛdɑpʼiruli
ზედაწელი	zɛdɑtsʼɛlɪ	zɛdɑtsʼɛli
ზედახორა	zɛdɑχɔrɑ	zɛdɑxɔrɑ
ზევით	zɛvɪtʰ	zɛvitʰ
ზეთისხილი	zɛtʰɪsχɪlɪ	zɛtʰisxili
ზეთოვანი	zɛtʰɔvɑnɪ	zɛtʰɔvɑni
ზეიმი	zɛɪmɪ	zɛimi
ზეინკალი	zɛɪnkʼɑlɪ	zɛinkʼɑli
ზელანდიური	zɛlɑndɪurɪ	zɛlɑndiuri
ზენიტი	zɛnɪtʼɪ	zɛnitʼi
ზენიტური	zɛnɪtʼurɪ	zɛnitʼuri
ზეპირად	zɛpʼɪrɑd	zɛpʼirɑd
ზეპირი	zɛpʼɪrɪ	zɛpʼiri
ზეჟანგი	zɛʒɑnɡɪ	zɛʒɑnɡi
ზეციური	zɛtsɪurɪ	zɛtsiuri
ზეწარი	zɛtsʼɑrɪ	zɛtsʼɑri
ზვიგენი	zvɪɡɛnɪ	zviɡɛni
ზვინი	zvɪnɪ	zvini
ზვირთცემა	zvɪrtʰtsɛmɑ	zvirtʰtsɛmɑ
ზიანი	zɪɑnɪ	ziɑni
ზიგზაგი	zɪɡzɑɡɪ	ziɡzɑɡi
ზიგზაგურად	zɪɡzɑɡurɑd	ziɡzɑɡurɑd
ზიზილა	zɪzɪlɑ	zizilɑ
ზიზღიანად	zɪzʁɪɑnɑd	zizɣiɑnɑd
ზიზღიანი	zɪzʁɪɑnɪ	zizɣiɑni
ზიზღით	zɪzʁɪtʰ	zizɣitʰ
ზლოტი	zlɔtʼɪ	zlɔtʼi
ზმნისწინი	zmnɪstsʼɪnɪ	zmnistsʼini
ზოდიაქო	zɔdɪɑkʰɔ	zɔdiɑkʰɔ
ზოზინა	zɔzɪnɑ	zɔzinɑ
ზოლებიანი	zɔlɛbɪɑnɪ	zɔlɛbiɑni
ზოლიანი	zɔlɪɑnɪ	zɔliɑni
ზომვადი	zɔmvɑdɪ	zɔmvɑdi
ზომიერად	zɔmɪɛrɑd	zɔmiɛrɑd
ზომიერება	zɔmɪɛrɛbɑ	zɔmiɛrɛbɑ
ზონარი	zɔnɑrɪ	zɔnɑri
ზონდი	zɔndɪ	zɔndi
ზოოლოგი	zɔɔlɔɡɪ	zɔɔlɔɡi
ზოოლოგია	zɔɔlɔɡɪɑ	zɔɔlɔɡiɑ
ზოოლოგიური	zɔɔlɔɡɪurɪ	zɔɔlɔɡiuri
ზორვარი	zɔrvɑrɪ	zɔrvɑri
ზრდასრული	zrdɑsrulɪ	zrdɑsruli
ზრდილობიანად	zrdɪlɔbɪɑnɑd	zrdilɔbiɑnɑd
ზრდილობიანი	zrdɪlɔbɪɑnɪ	zrdilɔbiɑni
ზურმუხტი	zurmuχtʼɪ	zurmuxtʼi
ზღარბი	zʁɑrbɪ	zɣɑrbi
ზღვარი	zʁvɑrɪ	zɣvɑri
ზღვის	zʁvɪs	zɣvis
ზღვისიქითა	zʁvɪsɪkʰɪtʰɑ	zɣvisikʰitʰɑ
ზღვისიქითური	zʁvɪsɪkʰɪtʰurɪ	zɣvisikʰitʰuri
ზღვისკენ	zʁvɪskʼɛn	zɣviskʼɛn
ზღურბლი	zʁurblɪ	zɣurbli
თაბაშირი	tʰɑbɑʃɪrɪ	tʰɑbɑʃiri
თავაზიანად	tʰɑvɑzɪɑnɑd	tʰɑvɑziɑnɑd
თავაშვებული	tʰɑvɑʃvɛbulɪ	tʰɑvɑʃvɛbuli
თავაწყვეტილი	tʰɑvɑtsʼqʼvɛtʼɪlɪ	tʰɑvɑtsʼqʼvɛtʼili
თავბრუდამხვევად	tʰɑvbrudɑmχvɛvɑd	tʰɑvbrudɑmxvɛvɑd
თავგანწირვა	tʰɑvɡɑntsʼɪrvɑ	tʰɑvɡɑntsʼirvɑ
თავგანწირული	tʰɑvɡɑntsʼɪrulɪ	tʰɑvɡɑntsʼiruli
თავდამსხმელი	tʰɑvdɑmsχmɛlɪ	tʰɑvdɑmsxmɛli
თავდაპირველად	tʰɑvdɑpʼɪrvɛlɑd	tʰɑvdɑpʼirvɛlɑd
თავდაპირველი	tʰɑvdɑpʼɪrvɛlɪ	tʰɑvdɑpʼirvɛli
თავდაყირა	tʰɑvdɑqʼɪrɑ	tʰɑvdɑqʼirɑ
თავდაცვითი	tʰɑvdɑtsvɪtʰɪ	tʰɑvdɑtsvitʰi
თავდაჭერილი	tʰɑvdɑtʃʼɛrɪlɪ	tʰɑvdɑtʃʼɛrili
თავდები	tʰɑvdɛbɪ	tʰɑvdɛbi
თავზარი	tʰɑvzɑrɪ	tʰɑvzɑri
თავით	tʰɑvɪtʰ	tʰɑvitʰ
თავისებურება	tʰɑvɪsɛburɛbɑ	tʰɑvisɛburɛbɑ
თავისთვის	tʰɑvɪstʰvɪs	tʰɑvistʰvis
თავისუფლად	tʰɑvɪsupʰlɑd	tʰɑvisupʰlɑd
თავმდაბალი	tʰɑvmdɑbɑlɪ	tʰɑvmdɑbɑli
თავსაბურავი	tʰɑvsɑburɑvɪ	tʰɑvsɑburɑvi
თავსატეხი	tʰɑvsɑtʼɛχɪ	tʰɑvsɑtʼɛxi
თავქარიანად	tʰɑvkʰɑrɪɑnɑd	tʰɑvkʰɑriɑnɑd
თავქარიანი	tʰɑvkʰɑrɪɑnɪ	tʰɑvkʰɑriɑni
თავყვითელა	tʰɑvqʼvɪtʰɛlɑ	tʰɑvqʼvitʰɛlɑ
თავშალი	tʰɑvʃɑlɪ	tʰɑvʃɑli
თავშიშველი	tʰɑvʃɪʃvɛlɪ	tʰɑvʃiʃvɛli
თავხე	tʰɑvχɛ	tʰɑvxɛ
თავხედურად	tʰɑvχɛdurɑd	tʰɑvxɛdurɑd
თათმანი	tʰɑtʰmɑnɪ	tʰɑtʰmɑni
თათრული	tʰɑtʰrulɪ	tʰɑtʰruli
თაიგული	tʰɑɪɡulɪ	tʰɑiɡuli
თალმუდი	tʰɑlmudɪ	tʰɑlmudi
თამარი	tʰɑmɑrɪ	tʰɑmɑri
თამასუქი	tʰɑmɑsukʰɪ	tʰɑmɑsukʰi
თამბაქოსფერი	tʰɑmbɑkʰɔspʰɛrɪ	tʰɑmbɑkʰɔspʰɛri
თანაგრძნობით	tʰɑnɑɡrdznɔbɪtʰ	tʰɑnɑɡrdznɔbitʰ
თანადროული	tʰɑnɑdrɔulɪ	tʰɑnɑdrɔuli
თანაზომადი	tʰɑnɑzɔmɑdɪ	tʰɑnɑzɔmɑdi
თანამგრძნობი	tʰɑnɑmɡrdznɔbɪ	tʰɑnɑmɡrdznɔbi
თანამოიჯარე	tʰɑnɑmɔɪdʒɑrɛ	tʰɑnɑmɔidʒɑrɛ
თანამონაწილე	tʰɑnɑmɔnɑtsʼɪlɛ	tʰɑnɑmɔnɑtsʼilɛ
თანაყვავილი	tʰɑnɑqʼvɑvɪlɪ	tʰɑnɑqʼvɑvili
თანაცხოვრება	tʰɑnɑtsχɔvrɛbɑ	tʰɑnɑtsxɔvrɛbɑ
თანახმად	tʰɑnɑχmɑd	tʰɑnɑxmɑd
თანდათანობით	tʰɑndɑtʰɑnɔbɪtʰ	tʰɑndɑtʰɑnɔbitʰ
თანდაყოლილად	tʰɑndɑqʼɔlɪlɑd	tʰɑndɑqʼɔlilɑd
თანდაყოლილი	tʰɑndɑqʼɔlɪlɪ	tʰɑndɑqʼɔlili
თანმიმდევრულად	tʰɑnmɪmdɛvrulɑd	tʰɑnmimdɛvrulɑd
თანმხლები	tʰɑnmχlɛbɪ	tʰɑnmxlɛbi
თანხა	tʰɑnχɑ	tʰɑnxɑ
თანხლება	tʰɑnχlɛbɑ	tʰɑnxlɛbɑ
თანხმობა	tʰɑnχmɔbɑ	tʰɑnxmɔbɑ
თანხმოვანი	tʰɑnχmɔvɑnɪ	tʰɑnxmɔvɑni
თარგი	tʰɑrɡɪ	tʰɑrɡi
თარგმანები	tʰɑrɡmɑnɛbɪ	tʰɑrɡmɑnɛbi
თარიღი	tʰɑrɪʁɪ	tʰɑriɣi
თარჯიმანი	tʰɑrdʒɪmɑnɪ	tʰɑrdʒimɑni
თაღლითურად	tʰɑʁlɪtʰurɑd	tʰɑɣlitʰurɑd
თაღლითური	tʰɑʁlɪtʰurɪ	tʰɑɣlitʰuri
თაყვანისცემა	tʰɑqʼvɑnɪstsɛmɑ	tʰɑqʼvɑnistsɛmɑ
თახვი	tʰɑχvɪ	tʰɑxvi
თახსირი	tʰɑχsɪrɪ	tʰɑxsiri
თბილად	tʰbɪlɑd	tʰbilɑd
თბილისმა	tʰbɪlɪsmɑ	tʰbilismɑ
თეატრალი	tʰɛɑtʼrɑlɪ	tʰɛɑtʼrɑli
თეატრალური	tʰɛɑtʼrɑlurɪ	tʰɛɑtʼrɑluri
